fecha,tmed,tmax,tmin,prec,velmedia,racha,sol,hrMedia,temp_categoria,humedad_categoria,lluvia_categoria,cielo_categoria,viento_categoria,descripcion_dia,día,desayunos,almuerzos,cenas,mes,nº se,año
2025-03-18,13.2,19.6,6.8,25.8,4.7,12.5,11.0,70.0,Frío,Húmedo,Lluvia torrencial,Temporal / Tormenta,Brisa,"Frío, Húmedo, Brisa, Temporal / Tormenta.",Miércoles,96.0,21.0,37,3,11,2025
2025-03-19,15.0,19.8,10.1,0.0,4.4,15.3,10.3,54.0,Agradable,Húmedo,Sin lluvia,Soleado,Brisa,"Agradable, Húmedo, Brisa, Soleado.",Jueves,88.0,13.0,52,3,11,2025
2025-03-20,12.1,16.1,8.1,0.0,3.6,11.7,3.9,58.0,Frío,Húmedo,Sin lluvia,Parcialmente soleado,Brisa,"Frío, Húmedo, Brisa, Parcialmente soleado.",Viernes,96.0,33.0,95,3,11,2025
2025-03-21,10.7,17.1,4.3,0.0,4.4,11.9,11.2,66.0,Frío,Húmedo,Sin lluvia,Soleado,Brisa,"Frío, Húmedo, Brisa, Soleado.",Sábado,161.0,70.0,83,3,11,2025
2025-03-22,15.7,24.1,7.3,0.0,5.0,12.5,11.3,47.0,Agradable,Húmedo,Sin lluvia,Soleado,Brisa,"Agradable, Húmedo, Brisa, Soleado.",Domingo,172.0,76.0,62,3,12,2025
2025-03-23,14.2,21.9,6.6,0.0,4.2,9.2,11.2,73.0,Frío,Húmedo,Sin lluvia,Soleado,Brisa,"Frío, Húmedo, Brisa, Soleado.",Lunes,130.0,60.0,46,3,12,2025
2025-03-24,17.2,24.5,10.0,0.0,5.0,10.8,11.3,61.0,Agradable,Húmedo,Sin lluvia,Soleado,Brisa,"Agradable, Húmedo, Brisa, Soleado.",Martes,75.0,11.0,49,3,12,2025
2025-03-25,14.2,20.0,8.5,0.0,4.4,9.2,11.4,77.0,Frío,Húmedo,Sin lluvia,Soleado,Brisa,"Frío, Húmedo, Brisa, Soleado.",Miércoles,94.0,35.0,60,3,12,2025
2025-03-26,14.8,21.2,8.4,0.0,3.3,7.8,6.3,74.0,Frío,Húmedo,Sin lluvia,Soleado,Brisa,"Frío, Húmedo, Brisa, Soleado.",Jueves,83.0,36.0,35,3,12,2025
2025-03-27,15.8,21.0,10.5,0.0,2.8,7.2,9.6,71.0,Agradable,Húmedo,Sin lluvia,Soleado,Brisa,"Agradable, Húmedo, Brisa, Soleado.",Viernes,135.0,42.0,61,3,12,2025
