ABC de Ventas     Del 01/05/2025 al 31/05/2025	ABC de Ventas     Del 01/05/2025 al 31/05/2025	ABC de Ventas     Del 01/05/2025 al 31/05/2025	ABC de Ventas     Del 01/05/2025 al 31/05/2025	ABC de Ventas     Del 01/05/2025 al 31/05/2025	ABC de Ventas     Del 01/05/2025 al 31/05/2025	ABC de Ventas     Del 01/05/2025 al 31/05/2025	ABC de Ventas     Del 01/05/2025 al 31/05/2025	ABC de Ventas     Del 01/05/2025 al 31/05/2025	ABC de Ventas     Del 01/05/2025 al 31/05/2025
Código	Descripción	Unidades	Importe Total	Importe Total  I.I.	% Venta	% Acumu.	Fecha Ult.Vta.	Beneficio B.I.	% Ben.
000168	CHOCOLATE SUIZO	"4,00"	"11,00"	"12,10"	"0,10"	"66,48"	29/05/2025	"11,00"	"100,00"
000170	CAFÉ CON HIELO	"261,00"	"545,73"	"600,30"	"4,74"	"71,23"	31/05/2025	"545,73"	"100,00"
000171	CORTADO	"231,00"	"425,36"	"467,90"	"3,70"	"74,92"	31/05/2025	"425,36"	"100,00"
000173	TAZA DE LECHE	"16,00"	"24,73"	"27,20"	"0,21"	"75,14"	31/05/2025	"24,73"	"100,00"
000174	CHOCOLATE	"11,00"	"27,55"	"30,30"	"0,24"	"75,38"	22/05/2025	"27,55"	"100,00"
000175	CARAJILLO	"20,00"	"51,64"	"56,80"	"0,45"	"75,82"	25/05/2025	"51,64"	"100,00"
000176	AMERICANO	"377,00"	"668,73"	"735,60"	"5,81"	"81,63"	31/05/2025	"668,73"	"100,00"
000528	SHAKERATO	"9,00"	"23,64"	"26,00"	"0,21"	"81,84"	27/05/2025	"23,64"	"100,00"
000529	LATTE MACCHIATO ACARAMELADO	"18,00"	"58,27"	"64,10"	"0,51"	"82,35"	30/05/2025	"58,27"	"100,00"
000530	SHAKERATO CON BAILEYS	"6,00"	"19,45"	"21,40"	"0,17"	"82,52"	25/05/2025	"19,45"	"100,00"
000531	LATTE MACCHIATO ACHOCOLATADO	"10,00"	"32,36"	"35,60"	"0,28"	"82,80"	29/05/2025	"32,36"	"100,00"
000532	ICED CAFÉ	"33,00"	"130,50"	"143,55"	"1,13"	"83,93"	31/05/2025	"130,50"	"100,00"
000533	BELLAGIO	"2,00"	"7,91"	"8,70"	"0,07"	"84,00"	21/05/2025	"7,91"	"100,00"
000534	LATTE MACCHIATO ALMENDRADO	"2,00"	"6,45"	"7,10"	"0,06"	"84,05"	26/05/2025	"6,45"	"100,00"
000535	LATTE MACCHIATO	"114,00"	"310,00"	"341,00"	"2,69"	"86,75"	31/05/2025	"310,00"	"100,00"
000536	IRLANDES	"8,00"	"36,00"	"39,60"	"0,31"	"87,06"	31/05/2025	"36,00"	"100,00"
000537	ROYAL	"5,00"	"22,50"	"24,75"	"0,20"	"87,26"	18/05/2025	"22,50"	"100,00"
000539	DELUXE	"2,00"	"9,00"	"9,90"	"0,08"	"87,33"	11/05/2025	"9,00"	"100,00"
000671	leche sin lactosa	"184,00"	"0,00"	"0,00"	"0,00"	"87,33"	31/05/2025	"0,00"	"0,00"
000782	descafeinado	"469,00"	"0,00"	"0,00"	"0,00"	"87,33"	31/05/2025	"0,00"	"0,00"
001208	helado vainilla	"2,00"	"0,00"	"0,00"	"0,00"	"87,33"	28/05/2025	"0,00"	"0,00"
